,YEAR,MAKE,MODEL,CLASS,ENGINE_SIZE,CYLINDERS,TRANSMISSION,FUEL_TYPE,FUEL_CONSUMPTION_CITY,FUEL_CONSUMPTION_HWY,FUEL_CONSUMPTION_COMB_L,FUEL_CONSUMPTION_COMB_mpg,CO2_EMISSIONS,CO2_Rating,Smog_Rating
0,2020,ACURA,ILX,COMPACT,2.4,4.0,AM8,Z,9.9,7.0,8.6,33.0,199.0,6.0,3.0
1,2020,ACURA,MDX SH-AWD,SUV: SMALL,3.5,6.0,AS9,Z,12.3,9.2,10.9,26.0,254.0,4.0,3.0
2,2020,ACURA,MDX SH-AWD A-SPEC,SUV: SMALL,3.5,6.0,AS9,Z,12.2,9.5,11.0,26.0,258.0,4.0,3.0
3,2020,ACURA,MDX HYBRID AWD,SUV: SMALL,3.0,6.0,AM7,Z,9.1,9.0,9.0,31.0,210.0,5.0,3.0
4,2020,ACURA,RDX AWD,SUV: SMALL,2.0,4.0,AS10,Z,11.0,8.6,9.9,29.0,232.0,5.0,6.0
5,2020,ACURA,RDX AWD A-SPEC,SUV: SMALL,2.0,4.0,AS10,Z,11.3,9.1,10.3,27.0,241.0,5.0,6.0
6,2020,ACURA,RLX HYBRID,MID-SIZE,3.5,6.0,AM7,Z,8.4,8.2,8.4,34.0,196.0,6.0,7.0
7,2020,ACURA,TLX A-SPEC,COMPACT,2.4,4.0,AM8,Z,10.2,7.4,8.9,32.0,209.0,5.0,3.0
8,2020,ACURA,TLX SH-AWD,COMPACT,3.5,6.0,AS9,Z,11.4,7.7,9.8,29.0,228.0,5.0,3.0
9,2020,ACURA,TLX SH-AWD A-SPEC/LIMITED EDITION,COMPACT,3.5,6.0,AS9,Z,12.0,8.2,10.3,27.0,240.0,5.0,3.0
10,2020,ALFA ROMEO,4C SPIDER,TWO-SEATER,1.8,4.0,AM6,Z,9.7,6.9,8.4,34.0,197.0,6.0,1.0
11,2020,ALFA ROMEO,GIULIA,MID-SIZE,2.0,4.0,A8,Z,10.0,7.2,8.7,32.0,205.0,6.0,3.0
12,2020,ALFA ROMEO,GIULIA AWD,MID-SIZE,2.0,4.0,A8,Z,10.5,7.7,9.2,31.0,217.0,5.0,3.0
13,2020,ALFA ROMEO,GIULIA QUADRIFOGLIO,MID-SIZE,2.9,6.0,A8,Z,13.5,9.3,11.6,24.0,271.0,4.0,3.0
14,2020,ALFA ROMEO,STELVIO,SUV: SMALL,2.0,4.0,A8,Z,10.3,8.1,9.3,30.0,218.0,5.0,3.0
15,2020,ALFA ROMEO,STELVIO AWD,SUV: SMALL,2.0,4.0,A8,Z,10.8,8.3,9.6,29.0,226.0,5.0,3.0
